時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
100年 5月	0	0	0	0	 2 	0	0	 102 	0
100年 6月	 1 	0	0	0	 2 	0	 1 	 91 	0
100年 7月	0	0	0	0	0	0	0	 120 	0
100年 8月	0	0	0	0	 2 	0	0	 159 	0
100年 9月	0	 2 	0	0	 4 	0	0	 150 	0
100年 10月	0	0	0	0	0	0	0	 115 	0
100年 11月	0	0	0	0	0	0	0	 117 	0
100年 12月	0	0	0	0	 2 	0	 1 	 62 	0
101年	 2 	 8 	0	 5 	 10 	0	 5 	 1,474 	0
101年 1月	0	0	0	0	 1 	0	0	 92 	0
101年 2月	0	0	0	0	0	0	0	 161 	0
101年 3月	0	 1 	0	0	 1 	0	 1 	 139 	0
101年 4月	0	 2 	0	0	0	0	0	 130 	0
101年 5月	0	0	0	0	 2 	0	 1 	 110 	0
101年 6月	0	 1 	0	0	 2 	0	 1 	 128 	0
101年 7月	0	0	0	0	0	0	0	 152 	0
101年 8月	 1 	 1 	0	 1 	0	0	 2 	 128 	0
101年 9月	0	 1 	0	0	 2 	0	0	 111 	0
101年 10月	 1 	 1 	0	0	0	0	0	 122 	0
101年 11月	0	0	0	 3 	 1 	0	0	 111 	0
101年 12月	0	 1 	0	 1 	 1 	0	0	 90 	0
102年	 1 	 3 	0	 8 	 11 	0	 2 	 1,304 	 2 
102年 1月	0	0	0	0	0	0	 1 	 79 	 1 
102年 2月	0	0	0	0	0	0	0	 95 	0
102年 3月	0	0	0	 1 	 3 	0	0	 101 	0
102年 4月	0	0	0	0	 2 	0	0	 95 	0
102年 5月	 1 	0	0	 3 	0	0	0	 112 	0
102年 6月	0	 1 	0	 1 	 2 	0	0	 87 	0
102年 7月	0	 1 	0	0	0	0	0	 108 	0
102年 8月	0	0	0	 2 	0	0	0	 131 	0
102年 9月	0	 1 	0	0	 3 	0	 1 	 146 	0
102年 10月	0	0	0	0	 1 	0	0	 131 	 1 
102年 11月	0	0	0	 1 	0	0	0	 132 	0
102年 12月	0	0	0	0	0	0	0	 87 	0
103年	0	 2 	0	 4 	 13 	0	 1 	 1,492 	0
103年 1月	0	0	0	0	0	0	0	 143 	0
103年 2月	0	0	0	0	0	0	0	 121 	0
103年 3月	0	0	0	 1 	 2 	0	0	 126 	0
103年 4月	0	0	0	0	 1 	0	0	 114 	0
103年 5月	0	0	0	0	0	0	0	 135 	0
103年 6月	0	 1 	0	0	 1 	0	0	 139 	0
103年 7月	0	0	0	 1 	0	0	0	 122 	0
103年 8月	0	0	0	0	 2 	0	0	 114 	0
103年 9月	0	0	0	 1 	 5 	0	 1 	 130 	0
103年 10月	0	0	0	 1 	0	0	0	 127 	0
103年 11月	0	 1 	0	0	 2 	0	0	 115 	0
103年 12月	0	0	0	0	0	0	0	 106 	0
104年	0	0	0	 4 	 7 	0	 8 	 1,441 	 1 
104年 1月	0	0	0	0	0	0	0	 142 	0
104年 2月	0	0	0	 1 	 1 	0	0	 137 	0
104年 3月	0	0	0	 1 	 1 	0	 3 	 102 	0
104年 4月	0	0	0	0	0	0	0	 114 	0
104年 5月	0	0	0	0	0	0	0	 111 	 1 
104年 6月	0	0	0	0	0	0	0	 88 	0
104年 7月	0	0	0	0	 1 	0	0	 100 	0
