"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"97年"," 52,762","     72","      7","  2,971"," 25,316"," 22,971","  1,313","     21","     91"," 45,299","     54","      5","  2,655"," 22,115"," 19,276","  1,100","     19","     75","  7,463","     18","      2","    316","  3,201","  3,695","    213","      2","     16"
"97年 1月","  4,919","      6","      -","    300","  2,353","  2,122","    127","      1","     10","  4,248","      5","      -","    275","  2,059","  1,793","    107","      1","      8","    671","      1","      -","     25","    294","    329","     20","      -","      2"
"97年 2月","  4,412","      7","      -","    284","  2,163","  1,844","    102","      2","     10","  3,824","      4","      -","    251","  1,925","  1,551","     84","      1","      8","    588","      3","      -","     33","    238","    293","     18","      1","      2"
"97年 3月","  4,745","      6","      2","    251","  2,364","  1,980","    129","      2","     11","  4,101","      5","      2","    224","  2,077","  1,677","    106","      2","      8","    644","      1","      -","     27","    287","    303","     23","      -","      3"
"97年 4月","  4,162","      1","      -","    248","  2,085","  1,729","     91","      3","      5","  3,598","      1","      -","    225","  1,820","  1,473","     71","      3","      5","    564","      -","      -","     23","    265","    256","     20","      -","      -"
"97年 5月","  4,484","      6","      -","    265","  2,147","  1,926","    129","      2","      9","  3,865","      3","      -","    233","  1,886","  1,629","    105","      2","      7","    619","      3","      -","     32","    261","    297","     24","      -","      2"
"97年 6月","  4,042","      3","      1","    229","  1,975","  1,737","     88","      -","      9","  3,478","      3","      -","    207","  1,735","  1,450","     76","      -","      7","    564","      -","      1","     22","    240","    287","     12","      -","      2"
"97年 7月","  6,301","     11","      1","    332","  3,016","  2,762","    175","      1","      3","  5,366","      9","      1","    292","  2,598","  2,311","    152","      1","      2","    935","      2","      -","     40","    418","    451","     23","      -","      1"
"97年 8月","  5,905","     12","      1","    318","  2,792","  2,642","    123","      3","     14","  5,026","     11","      1","    282","  2,433","  2,181","    102","      3","     13","    879","      1","      -","     36","    359","    461","     21","      -","      1"
"97年 9月","  4,018","      8","      1","    220","  1,902","  1,765","    117","      2","      3","  3,494","      6","      -","    200","  1,679","  1,500","    106","      1","      2","    524","      2","      1","     20","    223","    265","     11","      1","      1"
"97年 10月","  3,799","      3","      -","    204","  1,808","  1,690","     90","      3","      1","  3,217","      2","      -","    185","  1,566","  1,390","     70","      3","      1","    582","      1","      -","     19","    242","    300","     20","      -","      -"
"97年 11月","  3,148","      2","      -","    175","  1,447","  1,435","     79","      1","      9","  2,689","      2","      -","    156","  1,252","  1,203","     68","      1","      7","    459","      -","      -","     19","    195","    232","     11","      -","      2"
"97年 12月","  2,827","      7","      1","    145","  1,264","  1,339","     63","      1","      7","  2,393","      3","      1","    125","  1,085","  1,118","     53","      1","      7","    434","      4","      -","     20","    179","    221","     10","      -","      -"
"98年"," 47,400","     53","     10","  2,352"," 20,936"," 22,494","  1,316","     25","    214"," 40,271","     38","      7","  2,050"," 18,046"," 18,821","  1,102","     24","    183","  7,129","     15","      3","    302","  2,890","  3,673","    214","      1","     31"
"98年 1月","  3,619","      4","      -","    200","  1,694","  1,616","     96","      6","      3","  3,114","      3","      -","    176","  1,456","  1,389","     82","      6","      2","    505","      1","      -","     24","    238","    227","     14","      -","      1"
"98年 2月","  4,021","      4","      1","    223","  1,932","  1,751","    109","      -","      1","  3,460","      4","      1","    197","  1,672","  1,487","     98","      -","      1","    561","      -","      -","     26","    260","    264","     11","      -","      -"
"98年 3月","  4,108","      8","      2","    223","  1,892","  1,878","    101","      1","      3","  3,464","      5","      2","    195","  1,610","  1,564","     85","      1","      2","    644","      3","      -","     28","    282","    314","     16","      -","      1"
"98年 4月","  4,038","      3","      1","    198","  1,780","  1,933","    119","      -","      4","  3,444","      2","      -","    171","  1,543","  1,627","     97","      -","      4","    594","      1","      1","     27","    237","    306","     22","      -","      -"
"98年 5月","  3,703","      4","      -","    197","  1,676","  1,698","    112","      1","     15","  3,160","      2","      -","    173","  1,457","  1,417","     96","      1","     14","    543","      2","      -","     24","    219","    281","     16","      -","      1"
"98年 6月","  3,116","      1","      2","    146","  1,335","  1,542","     79","      3","      8","  2,630","      1","      1","    124","  1,143","  1,284","     68","      3","      6","    486","      -","      1","     22","    192","    258","     11","      -","      2"
"98年 7月","  5,482","      6","      3","    234","  2,473","  2,595","    142","      1","     28","  4,633","      4","      3","    203","  2,121","  2,161","    117","      1","     23","    849","      2","      -","     31","    352","    434","     25","      -","      5"
"98年 8月","  4,976","     11","      -","    228","  2,127","  2,418","    110","      7","     75","  4,214","      9","      -","    196","  1,848","  2,003","     85","      7","     66","    762","      2","      -","     32","    279","    415","     25","      -","      9"
"98年 9月","  3,694","      -","      -","    185","  1,618","  1,740","    127","      1","     23","  3,130","      -","      -","    162","  1,388","  1,448","    111","      1","     20","    564","      -","      -","     23","    230","    292","     16","      -","      3"
"98年 10月","  3,844","      1","      -","    200","  1,623","  1,868","    125","      2","     25","  3,219","      -","      -","    172","  1,386","  1,539","     98","      2","     22","    625","      1","      -","     28","    237","    329","     27","      -","      3"
"98年 11月","  3,572","      6","      1","    174","  1,448","  1,822","    100","      2","     19","  3,036","      5","      -","    154","  1,238","  1,542","     81","      1","     15","    536","      1","      1","     20","    210","    280","     19","      1","      4"
"98年 12月","  3,227","      5","      -","    144","  1,338","  1,633","     96","      1","     10","  2,767","      3","      -","    127","  1,184","  1,360","     84","      1","      8","    460","      2","      -","     17","    154","    273","     12","      -","      2"
"99年"," 51,078","     44","      5","  2,203"," 21,892"," 25,206","  1,439","     23","    266"," 43,401","     27","      2","  1,925"," 18,927"," 21,073","  1,206","     19","    222","  7,677","     17","      3","    278","  2,965","  4,133","    233","      4","     44"
