時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
101年 2月	 475 	 28 	 27 	 64 	0	 53 	 142 	 21 	 7 
101年 3月	 286 	 20 	 5 	 12 	0	 61 	 82 	 35 	 4 
101年 4月	 338 	 24 	 14 	 22 	0	 62 	 92 	 21 	 8 
101年 5月	 303 	 31 	 2 	 13 	0	 64 	 130 	 33 	 8 
101年 6月	 288 	 28 	 4 	 8 	0	 60 	 68 	 23 	 4 
101年 7月	 357 	 22 	 3 	 9 	0	 85 	 134 	 27 	 5 
101年 8月	 430 	 32 	 3 	 17 	0	 93 	 115 	 33 	 1 
101年 9月	 439 	 24 	 5 	 16 	0	 82 	 85 	 38 	 6 
101年 10月	 382 	 13 	 1 	 19 	0	 84 	 91 	 23 	 4 
101年 11月	 356 	 34 	 3 	 30 	0	 81 	 70 	 28 	 2 
101年 12月	 271 	 24 	 2 	 14 	0	 77 	 99 	 28 	 3 
102年	 3,979 	 231 	 45 	 276 	 2 	 972 	 1,208 	 464 	 33 
102年 1月	 190 	 17 	0	 32 	0	 81 	 97 	 31 	 2 
102年 2月	 951 	 35 	 20 	 110 	 2 	 51 	 79 	 15 	 3 
102年 3月	 331 	 16 	 4 	 20 	0	 81 	 112 	 34 	 4 
102年 4月	 296 	 11 	0	 6 	0	 79 	 112 	 42 	 3 
102年 5月	 266 	 16 	 2 	 19 	0	 84 	 98 	 42 	0
102年 6月	 257 	 22 	 4 	 9 	0	 71 	 72 	 32 	 2 
102年 7月	 299 	 13 	 6 	 10 	0	 97 	 128 	 65 	 2 
102年 8月	 311 	 26 	 3 	 14 	0	 84 	 99 	 33 	 1 
102年 9月	 269 	 20 	 2 	 7 	0	 86 	 103 	 51 	 5 
102年 10月	 326 	 23 	 2 	 27 	0	 102 	 116 	 37 	 4 
102年 11月	 298 	 22 	 2 	 12 	0	 80 	 95 	 35 	 3 
102年 12月	 185 	 10 	0	 10 	0	 76 	 97 	 47 	 4 
103年	 4,104 	 235 	 68 	 249 	 2 	 956 	 1,481 	 460 	 37 
103年 1月	 685 	 18 	 14 	 83 	0	 51 	 114 	 32 	 1 
103年 2月	 659 	 19 	 20 	 79 	 1 	 65 	 108 	 28 	 4 
103年 3月	 222 	 11 	 2 	 3 	0	 101 	 95 	 28 	 2 
103年 4月	 332 	 18 	 6 	 15 	0	 71 	 115 	 33 	 4 
103年 5月	 327 	 17 	 4 	 6 	0	 82 	 181 	 51 	 4 
103年 6月	 274 	 19 	 1 	 19 	0	 87 	 99 	 39 	 6 
103年 7月	 323 	 23 	 8 	 11 	0	 94 	 122 	 45 	 4 
103年 8月	 316 	 28 	 4 	 8 	0	 71 	 128 	 42 	 6 
103年 9月	 282 	 12 	 4 	 12 	0	 70 	 127 	 51 	0
103年 10月	 282 	 23 	 2 	 6 	 1 	 94 	 141 	 42 	 3 
103年 11月	 227 	 22 	 2 	 3 	0	 65 	 127 	 34 	 1 
103年 12月	 175 	 25 	 1 	 4 	0	 105 	 124 	 35 	 2 
104年	 3,779 	 288 	 36 	 251 	 2 	 907 	 1,841 	 462 	 39 
104年 1月	 137 	 15 	 2 	 2 	0	 68 	 136 	 24 	 3 
104年 2月	 963 	 55 	 18 	 169 	 1 	 43 	 98 	 24 	 4 
104年 3月	 225 	 20 	 1 	 6 	0	 82 	 187 	 48 	 5 
104年 4月	 255 	 19 	 2 	 19 	0	 78 	 145 	 36 	 6 
104年 5月	 256 	 20 	 2 	 8 	0	 84 	 129 	 38 	 1 
104年 6月	 250 	 17 	 1 	 13 	0	 62 	 105 	 35 	 3 
104年 7月	 275 	 20 	 2 	 4 	0	 87 	 201 	 46 	 2 
104年 8月	 300 	 54 	 3 	 10 	0	 70 	 162 	 52 	 1 
104年 9月	 291 	 8 	 2 	 5 	0	 87 	 183 	 29 	 4 
104年 10月	 300 	 21 	 1 	 8 	0	 85 	 207 	 37 	 3 
104年 11月	 271 	 18 	0	 5 	 1 	 85 	 150 	 47 	 4 
104年 12月	 256 	 21 	 2 	 2 	0	 76 	 138 	 46 	 3 
105年	 3,268 	 176 	 19 	 304 	 2 	 947 	 2,522 	 538 	 32 
105年 1月	 253 	 32 	 1 	 1 	0	 54 	 215 	 34 	 4 
105年 2月	 290 	 19 	 3 	 150 	0	 47 	 136 	 23 	 1 
