year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
87,臺東縣,3.3,3.7,2.6,13.1,12.1,14.3,5.9,5.7,6.2,3.4,3.8,2.6,3.2,4.1,0.8,2.7,3.7,0.5,2.6,3.3,1.3,1.6,2.4,0.3,2.6,3.5,1.0,1.5,2.2,0,0.4,0.6,0,0,0,0
87,花蓮縣,2.8,3.1,2.4,7.5,8.5,6.5,6.0,6.5,5.6,4.4,4.4,4.5,2.2,2.6,1.4,2.1,2.9,0.8,1.7,2.2,0.9,1.6,2.3,0.3,2.0,2.7,0.6,1.0,1.5,0,0.8,0.9,0,0,0,0
88,臺灣地區,2.92,3.23,2.46,9.03,8.62,9.50,6.83,7.96,5.99,3.82,4.36,3.11,2.42,2.85,1.75,2.08,2.59,1.28,1.87,2.45,0.95,1.89,2.40,1.02,1.79,2.43,0.45,1.35,1.73,0.41,0.87,1.08,0.25,0.29,0.33,0.18
88,北部區域,2.8,3.2,2.3,7.7,8.1,7.2,6.4,7.6,5.5,3.7,4.4,2.9,2.5,2.9,1.9,1.9,2.4,1.3,1.8,2.3,0.9,1.9,2.3,1.1,1.8,2.5,0.6,1.6,2.1,0.2,1.2,1.4,0.3,0.3,0.4,0
88,臺北市,2.9,3.3,2.3,9.9,11.7,7.7,8.1,10.8,6.4,4.7,5.7,3.6,2.8,3.1,2.5,2.2,3.1,1.1,1.7,2.3,1.0,1.6,2.0,0.8,1.3,1.6,0.7,1.0,1.3,0.2,0.8,1.1,0,0.5,0.6,0
88,基隆市,4.2,4.5,3.8,9.9,10.1,9.7,10.3,11.0,9.8,5.0,6.1,3.4,4.1,4.7,3.0,3.2,3.8,2.2,2.5,2.8,2.0,2.9,3.6,1.5,2.5,3.1,0.9,1.7,2.2,0,0.1,0.1,0,0,0,0
88,新竹市,2.7,3.3,1.9,5.6,7.3,4.2,4.8,5.4,4.4,3.0,3.4,2.5,3.4,4.7,1.7,1.7,2.5,0.5,1.8,2.1,1.3,1.8,2.3,1.1,2.6,3.2,1.7,2.6,3.9,0,1.2,1.8,0,0,0,0
88,臺北縣,3.0,3.4,2.5,7.8,7.2,8.6,6.5,7.2,6.0,3.6,4.1,3.1,2.5,2.9,1.8,1.8,2.1,1.4,2.0,2.7,0.9,2.3,3.0,1.1,2.4,3.2,0.5,2.1,2.7,0.4,1.8,1.9,1.0,0.3,0.4,0
88,宜蘭縣,3.5,3.6,3.2,10.9,10.1,12.0,7.1,7.5,6.8,4.5,5.4,3.2,2.5,2.2,3.1,2.1,2.6,1.3,2.1,2.3,1.7,2.3,2.5,2.0,3.3,4.3,0.9,3.8,5.0,0.5,0.7,0.7,0.4,0,0,0
88,桃園縣,2.0,2.3,1.5,5.5,7.4,3.8,3.9,5.1,3.0,2.6,3.3,1.8,1.6,1.9,1.2,1.6,1.9,1.0,1.2,1.7,0.5,1.5,1.4,1.6,0.8,1.2,0,0.5,0.7,0,1.0,1.2,0,0,0,0
88,新竹縣,1.8,2.2,1.1,3.6,2.6,4.7,4.9,7.1,3.3,1.7,2.5,0.7,1.2,2.0,0,1.7,1.8,1.6,1.0,1.7,0,0.8,0.5,1.2,2.2,3.3,0,0.4,0.5,0,1.6,2.0,0,1.0,1.1,0
88,中部區域,2.6,2.7,2.3,8.1,7.3,9.0,6.4,7.1,5.8,3.5,4.0,2.9,1.9,2.2,1.5,1.7,2.0,1.1,1.6,2.0,0.9,1.4,1.9,0.4,1.3,1.8,0.2,0.9,1.1,0.6,0.8,1.1,0.1,0.0,0,0.1
88,臺中市,3.1,3.4,2.7,6.9,5.2,9.2,8.2,8.4,8.1,3.6,4.0,3.2,2.3,3.0,1.5,2.6,3.3,1.8,2.3,3.1,1.2,1.7,2.3,0.6,2.1,3.0,0.1,1.3,1.6,0,0.7,0.6,1.2,0,0,0
88,苗栗縣,2.2,2.5,1.9,6.1,7.5,4.5,5.0,7.1,3.3,2.8,3.1,2.3,2.0,2.2,1.5,2.3,2.7,1.7,1.7,1.9,1.4,1.0,1.4,0.4,1.7,2.3,0.2,0.5,0.2,1.6,0.2,0.2,0,0.2,0,1.5
