,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
78,95年,高雄市(99年改制前)," 10,357 "," 1,173 ",70,256,2,690," 1,438 ",132,102,48,379,22, 465 ,133,6,23,47,0,101,4,152,178," 2,954 "," 1,012 ",20,0,132,39,18,223,346,0,120,24,2,4,0,0,0,92,0,35," 2,598 ",0,51,3,47,2,6,0,0,0,0,4,0,0,52,0,1,2,148,23," 1,194 "
91,96年,高雄市(99年改制前)," 10,826 "," 1,185 ",50,237,6,576," 2,617 ",160,76,25,505,27, 668 ,147,5,24,38,3,143,2,141,119," 3,322 "," 1,277 ",31,1,149,47,26,156,274,0,144,24,3,1,3,0,0,177,0,54," 3,296 ",0,64,4,6,3,1,2,1,2,0,2,0,0,34,2,2,1,110,0," 1,522 "
104,97年,高雄市(99年改制前)," 9,483 "," 1,041 ",25,226,1,560," 2,227 ",163,90,20,605,24," 1,100 ",122,2,20,44,2,123,4,162,134," 3,122 "," 1,301 ",24,1,121,51,23,122,322,0,105,19,8,2,4,0,0,143,0,16," 3,447 ",0,78,0,25,7,4,1,0,1,0,10,0,1,25,0,1,1,106,13, 922 
117,98年,高雄市(99年改制前)," 8,597 "," 1,027 ",35,166,5,608," 1,940 ",169,90,17,640,21, 675 ,115,2,33,55,0,105,1,147,99," 2,553 "," 1,621 ",55,3,121,43,22,102,336,0,118,29,1,0,2,0,0,86,0,8," 4,352 ",0,98,1,0,17,5,0,0,3,0,4,0,0,33,0,2,0,95,0, 375 
130,99年,高雄市(99年改制前)," 8,922 ", 582 ,70,234,4,747," 1,486 ",242,82,21,811,22, 372 ,98,4,42,68,0,84,1,191,101," 2,231 "," 2,648 ",68,3,150,45,19,82,226,0,73,23,6,0,50,0,0,121,0,14," 4,874 ",0,160,1,104,12,2,1,0,1,0,7,0,0,35,0,0,0,120,0, 398 
143,100年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,101年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,102年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,103年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,104年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,105年,高雄市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89年,雲林縣," 1,579 ", 881 ,17,148,0,127, 30 ,69,32,0,37,30,17,42,0,8,13,0,38,3,19,57, 305 ,716,0,0,19,13,0,52,40,1,3,10,1,1,4,0,4,67,2,4, 390 ,0,3,24,0,0,5,0,1,6,0,5,0,0,14,0,1,1,73,14,88
13,90年,雲林縣," 1,899 ", 872 ,16,86,1,162, 44 ,55,27,1,34,33,26,27,1,18,25,0,26,2,29,54, 464 ,462,0,0,29,18,0,60,44,0,6,19,0,3,1,0,0,77,2,4, 462 ,0,2,21,6,0,7,0,1,0,0,17,0,0,29,0,2,1,59,79,142
