時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
91年 4月	 1,524 	 613 	 5 	 23 	0	 58 	 36 	 15 	 4 
91年 5月	 1,616 	 592 	 2 	 31 	0	 71 	 28 	 15 	 5 
91年 6月	 1,672 	 614 	 5 	 25 	0	 71 	 38 	 17 	 9 
91年 7月	 2,427 	 638 	 4 	 19 	 1 	 68 	 42 	 13 	 9 
91年 8月	 2,321 	 659 	 4 	 28 	 2 	 70 	 41 	 17 	 6 
91年 9月	 1,882 	 487 	0	 25 	 2 	 76 	 146 	 14 	 5 
91年 10月	 2,418 	 548 	 7 	 25 	0	 72 	 54 	 19 	 13 
91年 11月	 1,906 	 480 	 11 	 25 	 2 	 60 	 93 	 16 	 4 
91年 12月	 2,082 	 439 	0	 29 	 1 	 48 	 159 	 14 	 7 
92年	 23,031 	 5,726 	 50 	 305 	 9 	 664 	 1,267 	 170 	 76 
92年 1月	 2,133 	 546 	0	 37 	 2 	 49 	 121 	 7 	 9 
92年 2月	 1,817 	 372 	 7 	 26 	 1 	 57 	 28 	 11 	 6 
92年 3月	 2,186 	 503 	 5 	 24 	0	 57 	 109 	 16 	 4 
92年 4月	 2,215 	 652 	 3 	 31 	 3 	 45 	 110 	 16 	 8 
92年 5月	 2,380 	 594 	 3 	 31 	0	 47 	 71 	 12 	 9 
92年 6月	 2,179 	 553 	 4 	 21 	 1 	 71 	 74 	 22 	 4 
92年 7月	 1,555 	 419 	 6 	 33 	0	 60 	 50 	 18 	 7 
92年 8月	 1,772 	 453 	 8 	 30 	 1 	 56 	 56 	 15 	 6 
92年 9月	 1,734 	 430 	 4 	 11 	 1 	 69 	 70 	 6 	 8 
92年 10月	 1,736 	 380 	 5 	 30 	0	 49 	 70 	 16 	 6 
92年 11月	 1,725 	 398 	 3 	 19 	0	 59 	 217 	 16 	 1 
92年 12月	 1,599 	 426 	 2 	 12 	0	 45 	 291 	 15 	 8 
93年	 21,664 	 5,770 	 64 	 305 	 3 	 642 	 2,422 	 149 	 86 
93年 1月	 1,775 	 490 	 2 	 34 	0	 34 	 125 	 11 	 11 
93年 2月	 1,575 	 450 	 3 	 52 	0	 49 	 206 	 9 	 5 
93年 3月	 1,771 	 442 	 4 	 89 	0	 47 	 144 	 10 	 1 
93年 4月	 1,779 	 498 	 18 	 18 	0	 45 	 273 	 13 	 7 
93年 5月	 1,805 	 525 	 5 	 16 	 2 	 51 	 287 	 14 	 5 
93年 6月	 1,854 	 444 	 3 	 7 	0	 60 	 241 	 17 	 4 
93年 7月	 1,935 	 566 	 4 	 16 	0	 38 	 231 	 12 	 7 
93年 8月	 1,984 	 600 	 3 	 14 	 1 	 71 	 258 	 13 	 12 
93年 9月	 1,948 	 525 	 7 	 15 	0	 51 	 135 	 9 	 10 
93年 10月	 1,865 	 424 	 6 	 12 	0	 57 	 193 	 10 	 7 
93年 11月	 2,025 	 444 	 6 	 15 	0	 58 	 216 	 12 	 5 
93年 12月	 1,348 	 362 	 3 	 17 	0	 81 	 113 	 19 	 12 
94年	 21,002 	 4,881 	 45 	 187 	 2 	 753 	 3,142 	 175 	 75 
94年 1月	 1,966 	 403 	 3 	 33 	0	 46 	 88 	 9 	 2 
94年 2月	 1,236 	 329 	 5 	 15 	0	 49 	 145 	 13 	 2 
94年 3月	 1,620 	 471 	 9 	 13 	0	 81 	 430 	 17 	 4 
94年 4月	 1,568 	 364 	 5 	 18 	0	 67 	 327 	 16 	 7 
94年 5月	 1,617 	 353 	 2 	 25 	0	 72 	 405 	 19 	 9 
94年 6月	 1,885 	 448 	 5 	 13 	0	 66 	 311 	 22 	 6 
94年 7月	 1,935 	 401 	 2 	 10 	 1 	 58 	 209 	 13 	 13 
94年 8月	 1,707 	 478 	 3 	 16 	0	 69 	 354 	 17 	 6 
94年 9月	 1,778 	 471 	 3 	 8 	 1 	 57 	 178 	 11 	 6 
94年 10月	 1,884 	 425 	 3 	 11 	0	 69 	 208 	 6 	 4 
94年 11月	 2,343 	 386 	 2 	 13 	0	 66 	 206 	 16 	 5 
94年 12月	 1,463 	 352 	 3 	 12 	0	 53 	 281 	 16 	 11 
