時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
103年 9月	 118 	 6 	 2 	 11 	0	 32 	 23 	 15 	 1 
103年 10月	 74 	 7 	 2 	 4 	0	 41 	 43 	 24 	 1 
103年 11月	 71 	 9 	0	 18 	0	 18 	 20 	 12 	 2 
103年 12月	 43 	 7 	0	 5 	0	 23 	 38 	 17 	 1 
104年	 895 	 64 	 7 	 170 	0	 340 	 373 	 174 	 24 
104年 1月	 23 	 5 	0	0	0	 26 	 22 	 7 	0
104年 2月	 221 	 5 	 2 	 58 	0	 23 	 47 	 10 	 1 
104年 3月	 81 	 7 	 1 	 2 	0	 33 	 29 	 14 	 3 
104年 4月	 47 	 8 	0	 18 	0	 33 	 30 	 13 	 3 
104年 5月	 79 	 5 	 1 	 6 	0	 29 	 23 	 18 	 3 
104年 6月	 65 	 4 	 1 	 9 	0	 28 	 25 	 23 	 2 
104年 7月	 61 	 4 	 1 	 3 	0	 22 	 17 	 17 	 1 
104年 8月	 71 	 7 	0	 2 	0	 30 	 23 	 9 	 4 
104年 9月	 73 	 3 	 1 	 2 	0	 38 	 44 	 21 	 2 
104年 10月	 75 	 1 	0	 19 	0	 32 	 43 	 11 	 1 
104年 11月	 49 	 4 	0	 18 	0	 26 	 34 	 13 	 1 
104年 12月	 50 	 11 	0	 33 	0	 20 	 36 	 18 	 3 
105年	 833 	 67 	 7 	 244 	 1 	 331 	 434 	 211 	 15 
105年 1月	 71 	 2 	0	 23 	0	 19 	 26 	 14 	 1 
105年 2月	 61 	 8 	0	 71 	0	 24 	 25 	 9 	 1 
105年 3月	 83 	 6 	 3 	 19 	0	 33 	 60 	 19 	 2 
105年 4月	 75 	 9 	0	 22 	0	 26 	 41 	 15 	0
105年 5月	 85 	 12 	0	 14 	0	 26 	 45 	 22 	 1 
105年 6月	 90 	 4 	0	 11 	0	 36 	 38 	 24 	 1 
105年 7月	 78 	 2 	 3 	 21 	0	 28 	 53 	 13 	 3 
105年 8月	 66 	 4 	0	 10 	0	 39 	 31 	 21 	 1 
105年 9月	 60 	 2 	0	 18 	0	 22 	 33 	 20 	0
105年 10月	 54 	 8 	0	 20 	0	 18 	 28 	 13 	 1 
105年 11月	 58 	 9 	0	 13 	0	 34 	 39 	 21 	 2 
105年 12月	 52 	 1 	 1 	 2 	 1 	 26 	 15 	 20 	 2 
